type,ref,date,title,summary,lead_member,lead_members_party,department,MNIS_id,gender,constituency
Urgent questions,676 cc248-257,2020-05-13,Covid-19: School Reopening,Urgent question on the Department's plans to reopen schools as part of the Government's covid-19 recovery strategy.,"Moran, Layla",Liberal Democrats,Department for Education,4656,F,Oxford West and Abingdon
Urgent questions,676 cc128-147,2020-05-12,Covid-19: Economic Package,Urgent question on the Government's economic package in response to the covid-19 outbreak.,"Dodds, Anneliese",Labour Party; Cooperative Party,Treasury,4657,F,Oxford East
Urgent questions,675 cc557-564,2020-05-06,Lifting the Lockdown: Workplace Safety,Urgent question on guidelines for workplace safety after the lifting of lockdown.,"McDonald, Andy",Labour Party,"Department for Business, Energy and Industrial Strategy",4269,M,Middlesbrough
Urgent questions,675 cc492-528,2020-05-05,Covid-19 Update,Urgent question on the Government's response to covid-19.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,674 cc221-240,2020-03-24,British Citizens Abroad: FCO Help to Return Home,Urgent question on what measures he plans to introduce to assist British citizens abroad to return home.,"Nokes, Caroline",Conservative Party,Foreign and Commonwealth Office,4048,F,Romsey and Southampton North
Urgent questions,674 cc206-221,2020-03-24,Self-employed Persons: Financial Support,Urgent question on financial support for the self-employed in the light of the covid-19 pandemic.,"Davey, Ed",Liberal Democrats,Treasury,188,M,Kingston and Surbiton
Urgent questions,673 cc1137-1153,2020-03-19,Coronavirus: Employment Support,Urgent question on the support of wages of employees affected by coronavirus.,"Clark, Greg",Conservative Party,Treasury,1578,M,Tunbridge Wells
Backbench debates,673 cc1223-1246,2020-03-19,Horizon Settlement: Future Governance of Post Office Ltd,"Motion, That this House has considered Horizon settlement and future governance of Post Office Ltd. Motion lapsed.","Jones, Kevan",Labour Party,"Department for Business, Energy and Industrial Strategy",1438,M,North Durham
Backbench debates,673 cc1191-1223,2020-03-19,Loan Charge 2019: Sir Amyas Morse Review,That this House believes that the Loan Charge is an unjust and retrospective tax; notes that the law on the Loan Charge was not settled until 2017; and calls on HMRC to cease action on loans paid before 2017. Agreed to on question.,"Davis, David",Conservative Party,Treasury,373,M,Haltemprice and Howden
Backbench debates,673 cc200-214WH,2020-03-12,Self-defence Training in Schools,Unallotted backbench debate on a motion that this House has considered self-defence training in schools. Agreed to on question.,"Gray, James",Conservative Party,Department for Education,261,M,North Wiltshire
Backbench debates,673 cc177-200WH,2020-03-12,Freedom of Religion or Belief,Unallotted backbench debate on a motion that this House has considered freedom of religion of belief. Motion lapsed.,"Shannon, Jim",Democratic Unionist Party,Foreign and Commonwealth Office,4131,M,Strangford
Backbench debates,673 cc217-248,2020-03-10,"Lesbian, Bisexual and Trans Women’s Health Inequalities","Motion, That this House has considered lesbian, bisexual and trans women's health inequalities. Agreed to on question.","Bardell, Hannah",Scottish National Party,Department of Health and Social Care,4486,F,Livingston
Urgent questions,673 cc155-164,2020-03-10,Turkey-Greece Border: Refugees,Urgent question on what representations the UK Government have made to EU counterparts regarding the situation at the Turkish-Greek border and the refugee crisis in Greece.,"Cherry, Joanna",Scottish National Party,Foreign and Commonwealth Office,4419,F,Edinburgh South West
Urgent questions,672 cc23-39,2020-03-09,Coronavirus,Urgent question on the coronavirus outbreak.,"Ashworth, Jonathan",Labour Party; Cooperative Party,Department of Health and Social Care,4244,M,Leicester South
Urgent questions,672 cc750-9,2020-03-03,Recent Violence in India,Urgent question on recent violence in India and the Citizenship (Amendment) Act.,"Mahmood, Khalid",Labour Party,Foreign and Commonwealth Office,1392,M,"Birmingham, Perry Barr"
Urgent questions,672 cc635-643,2020-03-02,British Citizens Imprisoned Overseas and Coronavirus,Urgent question on British citizens who are imprisoned abroad in countries where coronavirus is spreading rapidly.,"Siddiq, Tulip",Labour Party,Foreign and Commonwealth Office,4518,F,Hampstead and Kilburn
Urgent questions,672 cc623-635,2020-03-02,Airport Expansion,Urgent question on airport expansion.,"McDonald, Andy",Labour Party,Department for Transport,4269,M,Middlesbrough
Urgent questions,672 cc609-623,2020-03-02,Ministerial Code,Urgent question on the recent apparent breaches of the ministerial code and whether he intends to refer the matter to the Cabinet Office for further investigation.,"Corbyn, Jeremy",Labour Party,Cabinet Office,185,M,Islington North
Urgent questions,672 cc23-34,2020-02-24,Syria: Security Situation,Urgent question on the security situation in Syria.,"Ellwood, Tobias",Conservative Party,Foreign and Commonwealth Office,1487,M,Bournemouth East
Urgent questions,671 cc981-9,2020-02-13,Maternity Services: East Kent,Urgent question on the provision and safety of maternity services in East Kent.,"Gale, Roger",Conservative Party,Department of Health and Social Care,87,M,North Thanet
Urgent questions,671 cc971-981,2020-02-13,Online Harms Legislation,Urgent question on the Government's plans for online harms legislation.,"Knight, Julian",Conservative Party,"Department for Digital, Culture, Media and Sport",4410,M,Solihull
Urgent questions,671 cc583-594,2020-02-10,Deportation Flight to Jamaica,Urgent question on the suppression of the Windrush lessons learned review and its implications for the deportation flight that is set to leave the country on Wednesday.,"Lammy, David",Labour Party,Home Office,206,M,Tottenham
Urgent questions,671 cc457-464,2020-02-06,BBC Licence Fee,Urgent question on the Government's plans for the future of the BBC licence fee.,"Brabin, Tracy",Labour Party; Cooperative Party,"Department for Digital, Culture, Media and Sport",NA,NA,NA
Urgent questions,671 cc189-199,2020-02-04,Lobby and Media Briefings: Journalists' Access,Urgent question on the barring of certain journalists from official civil servant media briefings at the direction of special advisers and the arrangements for future lobby and media briefings.,"Brabin, Tracy",Labour Party; Cooperative Party,Cabinet Office,NA,NA,NA
Urgent questions,671 cc175-189,2020-02-04,Universal Credit: Delayed Roll-Out,Urgent question on the delay to the full roll-out of universal credit.,"Gray, Neil",Scottish National Party,Department for Work and Pensions,NA,NA,NA
Urgent questions,670 cc926-940,2020-01-30,Middle East Peace Plan,Urgent question on the proposed middle east peace plan that was announced by President Trump this week.,"Thornberry, Emily",Labour Party,Foreign and Commonwealth Office,1536,F,Islington South and Finsbury
Urgent questions,670 cc546-556,2020-01-27,Automated Facial Recognition Surveillance,Urgent question on police use of automated facial recognition surveillance.,"Olney, Sarah",Liberal Democrats,Home Office,4591,F,Richmond Park
Urgent questions,670 cc533-546,2020-01-27,5G Network and Huawei,Urgent question on Huawei's involvement in the UK's 5G network.,"Tugendhat, Tom",Conservative Party,"Department for Digital, Culture, Media and Sport",4462,M,Tonbridge and Malling
Urgent questions,670 cc303-312,2020-01-22,Prevent Programme,Urgent question on the Home Office's oversight of the police in their operation of the Prevent programme.,"Abbott, Diane",Labour Party,Home Office,172,F,Hackney North and Stoke Newington
Urgent questions,669 cc885-895,2020-01-14,Flybe,"Urgent question on what support has been made available to Flybe, its passengers, and the regional airports that facilitate many of its routes, and whether he will make a statement.","Nokes, Caroline",Conservative Party,Department for Transport,4048,F,Romsey and Southampton North
Urgent questions,669 cc750-764,2020-01-13,Iran,Urgent question on the security situation in Iran.,"Ellwood, Tobias",Conservative Party,Foreign and Commonwealth Office,1487,M,Bournemouth East
Urgent questions,669 cc605-615,2020-01-09,Football Association and Bet365,Urgent question on the deal between the Football Association and Bet365.,"Harris, Carolyn",Labour Party,"Department for Digital, Culture, Media and Sport",4480,F,Swansea East
Westminster Hall debates,693 cc167-184WH,2021-04-28,District Heat Networks,Motion that this House has considered district heat networks. Agreed to on question. Sitting adjourned without Question put.,"Colburn, Elliot",Conservative Party,"Department for Business, Energy and Industrial Strategy",4775,M,Carshalton and Wallington
Westminster Hall debates,693 cc160-7WH,2021-04-28,Online Scams: Consumer Protection,Motion that this House has considered the matter of protecting consumers from online scams. Agreed to on question.,"Edwards, Ruth",Conservative Party,Home Office,4808,F,Rushcliffe
Westminster Hall debates,693 cc137-160WH,2021-04-28,British Meat and Dairy Products,Motion that this House has considered British meat and dairy products. Agreed to on question.,"Saxby, Selaine",Conservative Party,"Department for Environment, Food and Rural Affairs",4863,F,North Devon
Westminster Hall debates,693 cc130-7WH,2021-04-28,Redundancy Protection: Women and New Parents,Motion that this House has considered the matter of extending redundancy protection for women and new parents. Agreed to on question.,"Oswald, Kirsten",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4413,F,East Renfrewshire
Westminster Hall debates,693 cc113-130WH,2021-04-28,GKN Automotive Plant: Birmingham,Motion that this House has considered the proposed closure of GKN Automotive plant in Birmingham. Agreed to on question.,"Dromey, Jack",Labour Party,"Department for Business, Energy and Industrial Strategy",3913,M,"Birmingham, Erdington"
Westminster Hall debates,693 cc93-112WH,2021-04-27,Air Pollution: London,Motion that this House has considered air pollution in London. Motion lapsed. Sitting adjourned without Question put.,"Wilson, Munira",Liberal Democrats,"Department for Environment, Food and Rural Affairs",4776,F,Twickenham
Westminster Hall debates,693 cc88-93WH,2021-04-27,Immigration Detention: Victims of Trafficking,Motion that this House has considered the effect of immigration detention on potential victims of trafficking. Agreed to on question.,"Fuller, Richard",Conservative Party,Home Office,3912,M,North East Bedfordshire
Westminster Hall debates,693 cc63-88WH,2021-04-27,Fire and Rehire,Motion that this House has considered fire and rehire practices. Motion lapsed.,"Osborne, Kate",Labour Party,"Department for Business, Energy and Industrial Strategy",4783,F,Jarrow
Westminster Hall debates,693 cc57-63WH,2021-04-27,Mental Health: Access to Nature,Motion that this House has considered the matter of enabling access to nature to support mental health. Agreed to on question.,"Crouch, Tracey",Conservative Party,"Department for Environment, Food and Rural Affairs",3950,F,Chatham and Aylesford
Westminster Hall debates,692 cc320-335WH,2021-04-21,Stroke: Aftercare,Motion that this House has considered the National Stroke Programme and aftercare and rehabilitation services for stroke patients. Motion lapsed. Sitting adjourned without Question put.,"Neill, Robert",Conservative Party,Department of Health and Social Care,1601,M,Bromley and Chislehurst
Westminster Hall debates,692 cc313-320WH,2021-04-21,Electric Vehicles: Promotion,Motion that this House has considered promotion of electric vehicle usage. Agreed to on question.,"Fletcher, Nick",Conservative Party,Department for Transport,4832,M,Don Valley
Westminster Hall debates,692 cc290-313WH,2021-04-21,Special Educational Needs,Motion that this House has considered support for children with SEND. Agreed to on question.,"Dhesi, Tanmanjeet Singh",Labour Party,Department for Education,4638,M,Slough
Westminster Hall debates,692 cc283-290WH,2021-04-21,Covid-19 and Health Inequalities: West Yorkshire,Motion that this House has considered health inequalities and the covid-19 outbreak in West Yorkshire. Motion lapsed.,"Trickett, Jon",Labour Party,Department of Health and Social Care,410,M,Hemsworth
Westminster Hall debates on treaties,692 cc259-283WH,2021-04-21,CPTPP,Motion that this House has considered the UK’s accession to the Comprehensive and Progressive Agreement for Trans-Pacific Partnership. Motion lapsed.,"Baker, Steve",Conservative Party,Department for International Trade,4064,M,Wycombe
Westminster Hall debates,692 cc56-76WH,2021-04-13,UK Asylum System and Asylum Seekers’ Mental Health,Motion that this House has considered the UK asylum system and asylum seekers’ mental health. Agreed to on question. Sitting adjourned without Question put.,"Monaghan, Carol",Scottish National Party,Home Office,4443,F,Glasgow North West
Westminster Hall debates,692 cc51-6WH,2021-04-13,Criminal Cases Review Commission,Motion that this House has considered strengthening the Criminal Cases Review Commission. Motion lapsed.,"Sheerman, Barry",Labour Party; Cooperative Party,Ministry of Justice,411,M,Huddersfield
Westminster Hall debates,692 cc31-51WH,2021-04-13,Vagrancy Act 1824,Motion that this House has considered repealing and replacing the Vagrancy Act 1824. Agreed to on question.,"Aiken, Nickie",Conservative Party,"Ministry of Housing, Communities and Local Government",4741,F,Cities of London and Westminster
Westminster Hall debates,692 cc23-31WH,2021-04-13,Bay Local Authority in North Lancashire and South Cumbria,Motion that this House has considered a proposal for the Bay local authority in North Lancashire and South Cumbria. Agreed to on question.,"Smith, Cat",Labour Party,"Ministry of Housing, Communities and Local Government",4436,F,Lancaster and Fleetwood
Westminster Hall debates,691 cc427-446WH,2021-03-24,UK Rare Diseases Framework,Motion that this House has considered the implementation of the UK Rare Diseases Framework. Agreed to on question. Sitting adjourned without Question put.,"Twist, Liz",Labour Party,Department of Health and Social Care,4618,F,Blaydon
Westminster Hall debates,691 cc421-7WH,2021-03-24,Bakerloo Line Extension,Motion that this House has considered Government funding for the Bakerloo Line extension. Agreed to on question.,"Coyle, Neil",Labour Party,Department for Transport,4368,M,Bermondsey and Old Southwark
Westminster Hall debates,691 cc397-421WH,2021-03-24,STEM Subjects: Science and Discovery Centres,Motion that this House has considered the Science and Discovery Centres' support for education in science and careers in STEM subjects. Agreed to on question.,"Spencer, Ben",Conservative Party,Department for Education,4785,M,Runnymede and Weybridge
Westminster Hall debates,691 cc390-7WH,2021-03-24,Luton Airport Expansion,Motion that this House has considered the planned expansion of Luton Airport. Agreed to on question.,"Cooper, Daisy",Liberal Democrats,Department for Transport,4769,F,St Albans
Westminster Hall debates,691 cc365-390WH,2021-03-24,NHS Pay,Motion that this House has considered NHS pay. Agreed to on question.,"Barker, Paula",Labour Party,Department of Health and Social Care,4828,F,"Liverpool, Wavertree"
Westminster Hall debates,691 cc346-364WH,2021-03-23,Education After Covid-19,Motion that this House has considered improving the education system after the covid-19 outbreak. Agreed to on question. Sitting adjourned without Question put.,"Seely, Bob",Conservative Party,Department for Education,4681,M,Isle of Wight
Westminster Hall debates,691 cc341-6WH,2021-03-23,Battle of Barnet: 550th Anniversary,Motion that this House has considered the 550th anniversary of the Battle of Barnet 1471. Agreed to on question.,"Villiers, Theresa",Conservative Party,"Department for Digital, Culture, Media and Sport",1500,F,Chipping Barnet
Westminster Hall debates,691 cc321-341WH,2021-03-23,Outer London Congestion Charge,Motion that this House has considered the proposal for an outer London congestion charge. Agreed to on question.,"Johnson, Gareth",Conservative Party,Department for Transport,3970,M,Dartford
Westminster Hall debates,691 cc312-320WH,2021-03-23,Smoke-free Society by 2030,Motion that this House has considered reduced-risk smoking products and proposals for a smoke-free society by 2030. Agreed to on question.,"Jones, David",Conservative Party,Department of Health and Social Care,1502,M,Clwyd West
Westminster Hall debates,691 cc116-134WH,2021-03-16,Union Connectivity Review,Motion that this House has considered the Union Connectivity Review. Agreed to on question. Sitting adjourned without Question put.,"Lamont, John",Conservative Party,Department for Transport,4608,M,"Berwickshire, Roxburgh and Selkirk"
Westminster Hall debates,691 cc109-116WH,2021-03-16,Arrest of Opposition Politicians: Turkey,Motion that this House has considered arrest of opposition politicians in Turkey. Agreed to on question.,"Clark, Feryal",Labour Party,"Foreign, Commonwealth and Development Office",4822,F,Enfield North
Westminster Hall debates,691 cc83-109WH,2021-03-16,Covid-19: Animal Welfare,Motion that this House has considered the effect of the covid-19 outbreak on animal welfare. Agreed to on question.,"Davies-Jones, Alex",Labour Party,"Department for Environment, Food and Rural Affairs",4849,F,Pontypridd
Westminster Hall debates,691 cc77-83WH,2021-03-16,Release under Investigation: Metropolitan Police,Motion that this House has considered the use of release under investigation by the Metropolitan Police. Agreed to on question.,"Amess, David",Conservative Party,Home Office,44,M,Southend West
Westminster Hall debates,690 cc182-199WH,2021-03-10,Household Overcrowding: Covid-19,Motion that this House has considered household overcrowding and the covid-19 outbreak. Motion lapsed. Sitting adjourned without Question put.,"Timms, Stephen",Labour Party,"Ministry of Housing, Communities and Local Government",163,M,East Ham
Westminster Hall debates,690 cc175-182WH,2021-03-10,Noise Pollution and Military Aviation,Motion that this House has considered noise pollution and military aviation. Agreed to on question.,"Williams, Hywel",Plaid Cymru,Ministry of Defence,1397,M,Arfon
Westminster Hall debates,690 cc1390-175WH,2021-03-10,Maternal Mental Health,Motion that this House has considered maternal mental health. Agreed to on question.,"Olney, Sarah",Liberal Democrats,Department of Health and Social Care,4591,F,Richmond Park
Westminster Hall debates,690 cc143-1390WH,2021-03-10,Automatic Computer-based Decisions: Legal Status,Motion that this House has considered the legal status of automatic computer-based decisions. Agreed to on question.,"Jones, Darren",Labour Party,"Department for Digital, Culture, Media and Sport",4621,M,Bristol North West
Westminster Hall debates,690 cc121-143WH,2021-03-10,Residential Leaseholders and Interim Fire Safety Costs,Motion that this House has considered residential leaseholders and interim fire safety costs. Agreed to on question.,"Eshalomi, Florence",Labour Party; Cooperative Party,"Ministry of Housing, Communities and Local Government",4870,F,Vauxhall
Westminster Hall debates,690 cc104-120WH,2021-03-09,Cyber-troop Activity: UK,Motion that this House has considered cyber troop activity in the UK. Agreed to on question. Sitting adjourned without Question put.,"Thompson, Owen",Scottish National Party,"Department for Digital, Culture, Media and Sport",4482,M,Midlothian
Westminster Hall debates,690 cc98-104WH,2021-03-09,Teignmouth Hospital,Motion that this House has considered the future of Teignmouth Hospital. Agreed to on question.,"Morris, Anne Marie",Conservative Party,Department of Health and Social Care,4249,F,Newton Abbot
Westminster Hall debates,690 cc81-98WH,2021-03-09,Support for Women Leaving Prison,Motion that this House has considered support for women leaving prison. Agreed to on question.,"Harris, Carolyn",Labour Party,Ministry of Justice,4480,F,Swansea East
Westminster Hall debates,690 cc74-81WH,2021-03-09,UK Video Games Industry: Contribution of Leamington Spa,Motion that this House has considered the contribution of Leamington Spa to the creation of the UK video games industry. Agreed to on question.,"Western, Matt",Labour Party,"Department for Digital, Culture, Media and Sport",4617,M,Warwick and Leamington
Westminster Hall debates,690 cc51-74WH,2021-03-09,Covid-19 Vaccine: Take-up Rates in London,Motion that this House has considered covid-19 vaccine take-up rates in London. Agreed to on question.,"Slaughter, Andy",Labour Party,Department of Health and Social Care,1516,M,Hammersmith
Westminster Hall debates,687 cc184-202WH,2021-01-13,Kashmir,Motion that this House has considered the political situation in Kashmir. Motion lapsed and sitting adjourned without Question put.,"Owen, Sarah",Labour Party,"Foreign, Commonwealth and Development Office",4777,F,Luton North
Westminster Hall debates,687 cc177-184WH,2021-01-13,War Memorials: Desecration,Motion that this House has considered the matter of desecration of war memorials. Agreed to on question. Sitting suspended.,"Gullis, Jonathan",Conservative Party,Ministry of Justice,4814,M,Stoke-on-Trent North
Westminster Hall debates,687 cc162-177WH,2021-01-13,Online Anonymity,Motion that this House has considered online anonymity. Agreed to on question. Sitting suspended.,"Baillie, Siobhan",Conservative Party,"Department for Digital, Culture, Media and Sport",4847,F,Stroud
Westminster Hall debates,687 cc155-162WH,2021-01-13,Rivers: Discharges,Motion that this House has considered discharges into rivers. Agreed to on question. Sitting suspended.,"Twist, Liz",Labour Party,"Department for Environment, Food and Rural Affairs",4618,F,Blaydon
Westminster Hall debates,687 cc131-155WH,2021-01-13,School Closures: Support for Pupils,Motion that this House has considered support for pupils' education during school closures. Agreed to on question. Sitting suspended.,"Western, Matt",Labour Party,Department for Education,4617,M,Warwick and Leamington
Westminster Hall debates,687 cc113-130WH,2021-01-12,Waste Incineration and Recycling Rates,"Motion, That this House has considered waste incineration and recycling rates. Agreed to on question. Sitting adjourned without Question put.","Colburn, Elliot",Conservative Party,"Department for Environment, Food and Rural Affairs",4775,M,Carshalton and Wallington
Westminster Hall debates,687 cc107-113WH,2021-01-12,Squash: The Olympics,"Motion, That this House has considered squash and the Olympics. Agreed to on question.","Rees, Christina",Labour Party; Cooperative Party,"Department for Digital, Culture, Media and Sport",4525,F,Neath
Westminster Hall debates,687 cc83-107WH,2021-01-12,Early Years Settings: Covid-19,"Motion, That this House has considered the effect of the covid-19 outbreak on early years settings. Agreed to on question.","Anderson, Fleur",Labour Party,Department for Education,4788,F,Putney
Westminster Hall debates,687 cc76-83WH,2021-01-12,Domestic Tourism,"Motion, That this House has considered domestic tourism. Agreed to on question.","Double, Steve",Conservative Party,"Department for Digital, Culture, Media and Sport",4452,M,St Austell and Newquay
Westminster Hall debates,687 cc53-76WH,2021-01-12,India: Persecution of Minority Groups,"Motion, That this House has considered the matter of persecution of Muslims, Christians and minority groups in India. Agreed to on question.","Shannon, Jim",Democratic Unionist Party,"Foreign, Commonwealth and Development Office",4131,M,Strangford
Westminster Hall debates,686 cc231-256WH,2020-12-17,UK Hydrogen Economy,"Motion, That this House has considered the UK hydrogen economy. Motion lapsed, and sitting adjourned without Question put.","Stafford, Alexander",Conservative Party,"Department for Business, Energy and Industrial Strategy",4866,M,Rother Valley
Westminster Hall debates,686 cc256-231WH,2020-12-17,Fairs and Showgrounds,"Motion, That this House has considered the future of fairs and showgrounds. Agreed to on question.","Linden, David",Scottish National Party,"Department for Digital, Culture, Media and Sport",4640,M,Glasgow East
Westminster Hall debates,686 cc188-206WH,2020-12-16,Winter Homelessness Support,"Motion, That this House has considered support for the homeless during the winter months. Agreed to on question. Sitting adjourned without Question put.","Aiken, Nickie",Conservative Party,"Ministry of Housing, Communities and Local Government",4741,F,Cities of London and Westminster
Westminster Hall debates,686 cc181-8WH,2020-12-16,Defence Manufacturing and Procurement: Shropshire,"Motion, That this House has considered defence manufacturing and procurement in Shropshire. Agreed to on question.","Pritchard, Mark",Conservative Party,Ministry of Defence,1576,M,The Wrekin
Westminster Hall debates,686 cc158-181WH,2020-12-16,Breast Cancer Screening,"Motion, That this House has considered breast cancer screening. Agreed to on question.","Largan, Robert",Conservative Party,Department of Health and Social Care,4852,M,High Peak
Westminster Hall debates,686 cc150-8WH,2020-12-16,Walthamstow Toy Library Eviction: NHS Role,"Motion, That this House has considered the NHS’s role in the eviction of the Walthamstow Toy Library. Motion lapsed.","Creasy, Stella",Labour Party; Cooperative Party,Department of Health and Social Care,4088,F,Walthamstow
Westminster Hall debates,686 cc125-150WH,2020-12-16,National Tree Strategy,"Motion, That this House has considered the National Tree Strategy. Agreed to on question.","Jarvis, Dan",Labour Party,"Department for Environment, Food and Rural Affairs",4243,M,Barnsley Central
Westminster Hall debates,686 cc105-123WH,2020-12-15,Covid-19: Effect on People with Learning Disabilities,Motion that this House has considered the effect of the covid-19 outbreak on people with learning disabilities. Agreed to on question.,"Matheson, Christian",Labour Party,Department of Health and Social Care,4408,M,City of Chester
Westminster Hall debates,686 cc100-5WH,2020-12-15,Welsh Food: Protected Status,Motion that this House has considered Welsh food and protected status. Agreed to on question. Sitting suspended.,"Crosbie, Virginia",Conservative Party,"Department for Environment, Food and Rural Affairs",4859,F,Ynys Môn
Westminster Hall debates,686 cc74-100WH,2020-12-15,Planning for the Future,Motion that this House has considered the Planning for the Future White Paper. Agreed to on question. Sitting suspended.,"Olney, Sarah",Liberal Democrats,"Ministry of Housing, Communities and Local Government",4591,F,Richmond Park
Westminster Hall debates,686 cc67-74WH,2020-12-15,Commonwealth War Graves Commission Staff,Motion that this House has considered Commonwealth War Graves Commission staff. Agreed to on question. Sitting suspended.,"Hopkins, Rachel",Labour Party,Ministry of Defence,4873,F,Luton South
Westminster Hall debates,686 cc43-67WH,2020-12-15,Healthcare Support Services: Conception to Age Two,Motion that this House has considered provision of healthcare support services in the period between conception and age two. Motion lapsed.,"Leadsom, Andrea",Conservative Party,Department of Health and Social Care,4117,F,South Northamptonshire
Westminster Hall debates,685 cc453-472WH,2020-12-09,Covid-19 Support Schemes: Ineligible People,"Motion, That this House has considered support for people ineligible for Government covid-19 support schemes. Agreed to on question. Sitting adjourned without Question put.","Wilson, Munira",Liberal Democrats,Treasury,4776,F,Twickenham
Westminster Hall debates,685 cc446-453WH,2020-12-09,Rural Scotland: Excess Delivery Charges,"Motion, That this House has considered excess delivery charges in rural Scotland. Agreed to on question.","Ross, Douglas",Conservative Party,"Department for Business, Energy and Industrial Strategy",4627,M,Moray
Westminster Hall debates,685 cc423-446WH,2020-12-09,Government Policy on Iran,"Motion, That this House has considered Government policy on Iran. Agreed to on question.","Howell, John",Conservative Party,"Foreign, Commonwealth and Development Office",1606,M,Henley
Westminster Hall debates,685 cc416-423WH,2020-12-09,Disabled Children: Accessible and Inclusive Education,NA,"Cameron, Lisa",Scottish National Party,Department for Education,4412,F,"East Kilbride, Strathaven and Lesmahagow"
Westminster Hall debates,685 cc389-416WH,2020-12-09,Covid-19: NAO Report on Government Procurement,"Motion, That this House has considered the NAO report on investigation into government procurement during the COVID-19 pandemic (HC 959). Agreed to on question.","Carden, Dan",Labour Party,Cabinet Office,4651,M,"Liverpool, Walton"
Westminster Hall debates,685 cc248-253WH,2020-12-08,Nagorno-Karabakh,Motion that this House has considered the conflict in Nagorno-Karabakh. Agreed to on question.,"Loughton, Tim",Conservative Party,"Foreign, Commonwealth and Development Office",114,M,East Worthing and Shoreham
Westminster Hall debates,685 cc289-248WH,2020-12-08,Marine Renewables: Government Support for Commercial Roll-out,Motion that this House has considered Government support for the commercial roll-out of marine renewables. Agreed to on question. Sitting suspended.,"Carmichael, Alistair",Liberal Democrats,"Department for Business, Energy and Industrial Strategy",1442,M,Orkney and Shetland
Westminster Hall debates,685 cc338-289WH,2020-12-08,Future of Pensions Policy,Motion that this House has considered the future of pensions policy. Agreed to on question. Sitting suspended.,"Roberts, Rob",Conservative Party,Department for Work and Pensions,4810,M,Delyn
Westminster Hall debates,685 cc330-8WH,2020-12-08,Covid-19: Music Education,Motion that this House has considered the effect of the covid-19 outbreak on music education. Agreed to on question. Sitting suspended.,"Lewer, Andrew",Conservative Party,Department for Education,4659,M,Northampton South
Westminster Hall debates,685 cc307-330WH,2020-12-08,Global Malnutrition: FCDO Role,"Motion that this House has considered the Foreign, Commonwealth and Development Office’s role in tackling global malnutrition. Agreed to on question.","Linden, David",Scottish National Party,"Foreign, Commonwealth and Development Office",4640,M,Glasgow East
Westminster Hall debates,685 cc194-208WH,2020-12-02,Broadband Rollout: Devon and Somerset,Motion that this House has considered the rollout of broadband in Devon and Somerset. Agreed to on question.,"Parish, Neil",Conservative Party,"Department for Digital, Culture, Media and Sport",4072,M,Tiverton and Honiton
Westminster Hall debates,685 cc186-194WH,2020-12-02,Covid-19: Lung Cancer Pathway,Motion that this House has considered the effect of the covid-19 outbreak on the lung cancer pathway. Motion lapsed.,"Twigg, Derek",Labour Party,Department of Health and Social Care,429,M,Halton
Westminster Hall debates,685 cc161-186WH,2020-12-02,Homelessness and Temporary Accommodation,Motion that this House has considered homelessness and temporary accommodation. Agreed to on question.,"Buck, Karen",Labour Party,"Ministry of Housing, Communities and Local Government",199,F,Westminster North
Westminster Hall debates,685 cc155-161WH,2020-12-02,Local Government Reorganisation: Somerset,Agreed to on question. Sitting suspended.,"Liddell-Grainger, Ian",Conservative Party,"Ministry of Housing, Communities and Local Government",1396,M,Bridgwater and West Somerset
Westminster Hall debates,685 cc131-155WH,2020-12-02,Covid-19: Access to Cancer Diagnosis and Treatment,Motion that this House has considered access to cancer diagnosis and treatment during the covid-19 outbreak. Motion lapsed.,"Farron, Tim",Liberal Democrats,Department of Health and Social Care,1591,M,Westmorland and Lonsdale
Westminster Hall debates,685 cc113-314WH,2020-12-01,Defence Procurement and Supply Chains,"Motion, That this House has considered defence procurement and supply chains. Agreed to on question.","Whitley, Mick",Labour Party,Ministry of Defence,4755,M,Birkenhead
Westminster Hall debates,685 cc105-306WH,2020-12-01,Covid-19: Hospital Parking Charges for NHS Staff,"Motion, That this House has considered parking charges for NHS staff at hospitals during the covid-19 outbreak. Agreed to on question.","Sultana, Zarah",Labour Party,Department of Health and Social Care,4786,F,Coventry South
Westminster Hall debates,685 cc79-105WH,2020-12-01,North Staffordshire Potteries Towns: Levelling Up,"Motion, That this House has considered the Government’s levelling-up agenda and post covid-19 economic recovery in North Staffordshire Potteries towns. Agreed to on question.","Brereton, Jack",Conservative Party,"Ministry of Housing, Communities and Local Government",4643,M,Stoke-on-Trent South
Westminster Hall debates,685 cc71-9WH,2020-12-01,Hare Coursing,"Motion, That this House has considered the matter of hare coursing. Agreed to on question.","Henderson, Gordon",Conservative Party,"Department for Environment, Food and Rural Affairs",4050,M,Sittingbourne and Sheppey
Westminster Hall debates,685 cc49-71WH,2020-12-01,Cancer in Teenagers and Young Adults,"Motion, That this House has considered the matter of raising awareness of signs and symptoms of cancer in teenagers and young adults.","Shannon, Jim",Democratic Unionist Party,Department of Health and Social Care,4131,M,Strangford
Westminster Hall debates,684 cc407-415WH,2020-11-25,NHS Dentistry and Oral Health Inequalities,Motion that this House has considered access to NHS dentistry and oral health inequalities. Agreed to on question. Sitting suspended.,"Cummins, Judith",Labour Party,Department of Health and Social Care,4391,F,Bradford South
